Date,Temperature(C),Dewpoint(C),Humidity(%),Barometer(hPa),Visibility(km),Wind Direction(degree),Wind Speed(km/h),Events,Conditions
14/03/2016 00:26,13,13,100,1007.5,1.3,Calm,,,Overcast
14/03/2016 00:51,13.3,13.3,100,1007.5,1.3,Calm,,,Overcast
14/03/2016 00:53,13,13,100,1007.5,2.9,Calm,,,Overcast
14/03/2016 01:00,14,13,94,1007.5,1.3,Calm,,,Overcast
14/03/2016 01:51,13.9,13.9,100,1007.5,1.3,South(180),5.6,,Overcast
14/03/2016 03:14,14,13,94,1007.5,0.8,South(190),5.6,,Overcast
14/03/2016 03:51,13.9,12.8,93,1007.5,0.8,Calm,,Fog-Rain,Light Rain
14/03/2016 03:58,14,13,94,1007.5,0.3,South(190),5.6,Fog,Fog
14/03/2016 03:13,14,13,94,1007.5,0.8,South(190),5.6,Fog,Fog
14/03/2016 03:35,14,13,94,1007.1,1.9,South(190),5.6,,Overcast
14/03/2016 03:45,14,13,94,1007.1,3.2,South(190),9.3,,Overcast
14/03/2016 03:46,13.9,12.8,93,1007.1,4,South(190),9.3,,Overcast
14/03/2016 03:56,14,13,94,1007.1,4.8,South(190),9.3,,Overcast
14/03/2016 04:05,14,13,94,1007.1,6.4,South(190),9.3,,Overcast
14/03/2016 04:51,14.4,13.3,93,1007.5,12.9,SSW(210),13,,Overcast
14/03/2016 04:58,14,13,94,1007.5,14.5,SSW(210),14.8,,Overcast
14/03/2016 05:41,14,13,94,1007.5,16.1,SSW(210),14.8,,Overcast
14/03/2016 05:51,14.4,13.3,93,1007.5,16.1,SW(220),13,,Overcast
14/03/2016 06:14,14,13,94,1007.5,16.1,SSW(210),11.1,,Overcast
14/03/2016 06:23,14,13,94,1007.5,14.5,South(190),7.4,,Overcast
14/03/2016 06:51,13.9,13.3,96,1007.5,12.9,South(190),9.3,,Overcast
14/03/2016 07:28,14,13,94,1007.5,14.5,South(180),9.3,,Overcast
14/03/2016 07:51,13.9,13.3,96,1007.8,14.5,South(180),9.3,,Overcast
14/03/2016 08:51,13.9,13.3,96,1008.5,8,South(180),9.3,,Overcast
14/03/2016 09:51,15,12.8,87,1007.8,9.7,South(170),13,,Overcast
14/03/2016 10:12,16,13,82,1008.1,12.9,South(180),13,,Mostly Cloudy
14/03/2016 10:51,16.7,13.3,80,1007.8,12.9,SSW(200),13,,Mostly Cloudy
14/03/2016 11:51,18.3,12.8,70,1006.8,16.1,SSE(160),9.3,,Mostly Cloudy
14/03/2016 12:51,20,12.2,61,1006.1,16.1,South(170),13,,Mostly Cloudy
14/03/2016 13:51,20.6,11.7,57,1005.1,16.1,SSE(160),13,,Mostly Cloudy
14/03/2016 14:51,21.1,11.1,53,1003,16.1,South(170),18.5,,Mostly Cloudy
14/03/2016 15:51,21.1,11.1,53,1002.4,11.3,South(190),13,Rain,Light Rain
14/03/2016 16:08,19,12,64,1003,9.7,SW(230),16.7,Rain-Thunderstorm,Light Thunderstorms and Rain
14/03/2016 16:13,17,12,72,1004.4,0.8,SW(220),59.2,Rain-Thunderstorm,Heavy Thunderstorms and Rain
14/03/2016 16:24,14,9,72,1004.1,0.8,WSW(240),25.9,Rain-Thunderstorm,Heavy Thunderstorms and Rain
14/03/2016 16:27,14,11,82,1003.7,8,WSW(250),18.5,Rain-Thunderstorm,Thunderstorms and Rain
14/03/2016 16:51,14.4,11.7,84,1003,16.1,Calm,,Rain,Light Rain
14/03/2016 17:51,15.6,14.4,93,1003,16.1,Calm,,,Mostly Cloudy
14/03/2016 18:51,16.7,15,90,1003,16.1,SE(130),5.6,,Mostly Cloudy
14/03/2016 19:51,15,13.3,90,1004.1,16.1,North(10),11.1,,Mostly Cloudy
14/03/2016 20:37,14,13,94,1004.4,16.1,NNE(20),7.4,Thunderstorm,Thunderstorm
14/03/2016 20:51,14.4,12.8,90,1004.4,16.1,Calm,,Thunderstorm,Thunderstorm
14/03/2016 21:10,15,13,88,1004.7,16.1,Calm,,,Overcast
14/03/2016 21:18,15,13,88,1004.7,16.1,Calm,,,Overcast
14/03/2016 21:51,14.4,12.2,87,1005.1,16.1,Calm,,,Mostly Cloudy
14/03/2016 22:51,14.4,11.7,84,1005.4,16.1,West(260),11.1,,Overcast
14/03/2016 23:51,13.9,12.2,89,1005.8,16.1,West(270),18.5,,Overcast
15/03/2016 00:27,14,12,88,1006.1,16.1,West(270),16.7,Rain,Light Rain
15/03/2016 00:34,14,12,88,1006.1,9.7,West(280),18.5,Rain,Light Rain
15/03/2016 00:51,13.9,12.2,89,1006.1,11.3,West(270),18.5,Rain,Light Rain
15/03/2016 01:04,14,13,94,1006.4,12.9,West(280),13,Rain,Light Rain
15/03/2016 01:10,14,13,94,1006.4,11.3,WNW(290),14.8,Rain,Light Rain
15/03/2016 01:29,14,13,94,1006.4,12.9,West(280),16.7,Rain,Light Rain
15/03/2016 01:51,13.9,12.8,93,1006.4,9.7,WNW(300),18.5,Rain,Light Rain
15/03/2016 01:59,14,13,94,1006.8,16.1,WNW(290),13,Rain,Light Rain
15/03/2016 03:51,13.3,12.2,93,1007.1,16.1,WNW(290),16.7,,Overcast
15/03/2016 03:14,13,12,94,1007.1,14.5,WNW(300),11.1,,Overcast
15/03/2016 03:51,13.3,12.2,93,1006.8,9.7,WNW(290),16.7,,Overcast
15/03/2016 04:03,13,12,94,1007.1,12.9,NW(310),25.9,,Overcast
15/03/2016 04:51,12.8,11.7,93,1007.5,14.5,NW(310),9.3,,Overcast
15/03/2016 05:02,13,10,82,1007.5,12.9,NNW(340),13,,Overcast
15/03/2016 05:32,12,10,88,1008.1,11.3,NW(310),11.1,,Overcast
15/03/2016 05:51,12.2,10,86,1008.5,11.3,WNW(290),11.1,,Overcast
15/03/2016 06:33,12,10,88,1008.8,11.3,NW(310),13,,Overcast
15/03/2016 06:51,12.2,10,86,1008.8,9.7,NW(310),11.1,,Overcast
15/03/2016 07:00,12,9,82,1009.1,9.7,WNW(300),13,,Haze
15/03/2016 07:51,11.7,9.4,86,1009.8,9.7,WNW(300),9.3,,Overcast
15/03/2016 08:51,11.7,8.9,83,1010.2,12.9,NW(320),14.8,,Overcast
15/03/2016 09:46,12,8,77,1010.8,14.5,NW(320),7.4,,Overcast
15/03/2016 09:51,11.7,8.3,80,1011.2,14.5,NW(310),13,,Overcast
15/03/2016 10:51,11.7,8.9,83,1011.2,14.5,Variable,7.4,,Overcast
15/03/2016 11:51,12.2,8.9,80,1011.2,12.9,Calm,,,Overcast
15/03/2016 12:18,13,9,77,1010.8,14.5,Calm,,,Overcast
15/03/2016 12:51,13.3,9.4,77,1010.8,16.1,Calm,,,Overcast
15/03/2016 13:51,13.9,9.4,74,1010.2,16.1,Calm,,,Overcast
15/03/2016 14:51,14.4,9.4,72,1009.8,16.1,South(180),7.4,,Overcast
15/03/2016 15:51,16.1,9.4,64,1009.1,14.5,Calm,,,Overcast
15/03/2016 16:29,17,9,59,1008.8,16.1,SSE(150),11.1,,Scattered Clouds
15/03/2016 16:51,17.2,10,63,1008.5,16.1,ESE(120),13,,Scattered Clouds
15/03/2016 17:51,17.8,10,60,1007.8,16.1,SE(140),13,,Partly Cloudy
15/03/2016 18:51,17.2,10.6,65,1007.5,16.1,East(90),16.7,,Clear
15/03/2016 19:51,15.6,10,69,1007.1,16.1,East(90),16.7,,Partly Cloudy
15/03/2016 20:51,15,10,72,1006.8,16.1,East(100),16.7,,Partly Cloudy
15/03/2016 21:51,15,9.4,69,1006.8,16.1,East(100),18.5,,Partly Cloudy
15/03/2016 22:51,15,9.4,69,1005.8,16.1,ESE(110),22.2,,Partly Cloudy
15/03/2016 23:51,15,9.4,69,1005.1,16.1,ESE(110),22.2,,Mostly Cloudy
16/03/2016 00:51,15,8.9,67,1003.7,16.1,ESE(110),24.1,,Scattered Clouds
16/03/2016 01:51,15,8.9,67,1002.4,16.1,ESE(110),20.4,,Scattered Clouds
16/03/2016 03:51,15,8.3,64,1002,16.1,SE(130),20.4,,Mostly Cloudy
16/03/2016 03:51,15.6,8.3,62,1001.4,16.1,South(170),11.1,,Mostly Cloudy
16/03/2016 04:51,15.6,8.3,62,1000.7,16.1,SSE(160),9.3,,Overcast
16/03/2016 05:51,16.7,8.3,58,1000.7,16.1,South(190),16.7,,Overcast
16/03/2016 06:51,17.8,8.9,56,1001.4,16.1,SSW(210),20.4,,Scattered Clouds
16/03/2016 07:51,16.7,9.4,62,1002.4,16.1,West(280),29.6,,Overcast
16/03/2016 08:51,15,8.3,64,1004.4,16.1,West(280),27.8,,Overcast
16/03/2016 09:51,15,4.4,49,1006.1,16.1,West(260),35.2,,Mostly Cloudy
16/03/2016 10:51,15.6,1.1,38,1006.8,16.1,West(270),33.3,,Scattered Clouds
16/03/2016 11:51,16.7,1.7,37,1007.5,16.1,WSW(240),37,,Scattered Clouds
16/03/2016 12:51,15.6,1.7,39,1008.1,16.1,WSW(250),35.2,,Mostly Cloudy
16/03/2016 13:51,15.6,1.1,38,1008.5,16.1,WSW(240),38.9,,Scattered Clouds
16/03/2016 14:51,17.2,0,31,1008.5,16.1,WSW(250),42.6,,Mostly Cloudy
16/03/2016 15:51,16.7,-0.6,31,1009.1,16.1,West(260),37,,Scattered Clouds
16/03/2016 16:51,15.6,-1.7,31,1009.5,16.1,WSW(250),31.5,,Scattered Clouds
16/03/2016 17:51,15.6,-2.2,30,1010.2,16.1,WSW(240),35.2,,Mostly Cloudy
16/03/2016 18:51,15.6,-3.9,26,1010.8,16.1,West(260),35.2,,Scattered Clouds
16/03/2016 19:51,13.9,-3.9,29,1011.5,16.1,West(260),22.2,,Scattered Clouds
16/03/2016 20:51,12.8,-3.3,33,1012.2,16.1,West(260),16.7,,Scattered Clouds
16/03/2016 21:51,12.8,-2.8,34,1012.2,16.1,WSW(250),13,,Mostly Cloudy
16/03/2016 22:51,11.7,-2.2,38,1012.5,16.1,SW(220),11.1,,Mostly Cloudy
16/03/2016 23:51,10.6,-1.7,43,1012.5,16.1,SSW(210),11.1,,Mostly Cloudy
17/03/2016 00:51,8.9,0,54,1012.5,16.1,SSW(200),7.4,,Scattered Clouds
17/03/2016 01:51,9.4,0,52,1012.2,16.1,SW(230),13,,Scattered Clouds
17/03/2016 03:51,10.6,-0.6,46,1011.9,16.1,WSW(240),14.8,,Mostly Cloudy
17/03/2016 03:51,9.4,0,52,1011.5,16.1,SW(220),16.7,,Scattered Clouds
17/03/2016 04:51,7.8,0,58,1011.9,16.1,West(280),13,,Scattered Clouds
17/03/2016 05:51,8.3,-0.6,54,1012.2,16.1,West(260),7.4,,Mostly Cloudy
17/03/2016 06:51,7.8,-1.1,54,1012.2,16.1,SSW(200),5.6,,Partly Cloudy
17/03/2016 07:51,7.2,-1.1,56,1012.5,16.1,SW(220),7.4,,Scattered Clouds
17/03/2016 08:51,8.9,-0.6,52,1012.9,16.1,SW(220),11.1,,Clear
17/03/2016 09:51,11.1,-1.7,41,1012.9,16.1,WSW(240),24.1,,Clear
17/03/2016 10:51,12.2,-1.7,38,1013.2,16.1,West(260),20.4,,Clear
17/03/2016 11:51,13.9,-2.8,32,1012.9,16.1,WSW(250),31.5,,Partly Cloudy
17/03/2016 12:51,15,-3.9,27,1012.5,16.1,WSW(250),29.6,,Scattered Clouds
17/03/2016 13:51,15,-4.4,26,1012.5,16.1,West(280),37,,Scattered Clouds
17/03/2016 14:51,13.9,-5.6,26,1011.9,16.1,West(270),31.5,,Scattered Clouds
17/03/2016 15:51,13.9,-4.4,28,1012.2,16.1,West(280),33.3,,Mostly Cloudy
17/03/2016 16:51,13.3,-5,28,1012.2,16.1,West(280),29.6,,Mostly Cloudy
17/03/2016 17:51,13.9,-5.6,26,1012.2,16.1,West(260),24.1,,Mostly Cloudy
17/03/2016 18:51,13.3,-4.4,29,1012.9,16.1,WNW(290),33.3,,Scattered Clouds
17/03/2016 19:51,11.1,-4.4,34,1013.2,16.1,WNW(290),18.5,,Scattered Clouds
17/03/2016 20:51,9.4,-3.9,39,1013.9,16.1,West(280),11.1,,Partly Cloudy
17/03/2016 21:51,8.3,-3.9,42,1014.6,16.1,WNW(290),7.4,,Partly Cloudy
17/03/2016 22:51,8.9,-2.8,44,1015.2,16.1,West(270),22.2,,Mostly Cloudy
17/03/2016 23:51,10.6,-4.4,35,1014.2,16.1,WNW(300),20.4,,Scattered Clouds
