Date,Temperature(C),Dewpoint(C),Humidity(%),Barometer(hPa),Visibility(km),Wind Direction(degree),Wind Speed(km/h),Events,Conditions
14/03/2016 17:54,12.8,10.6,86,1010.8,16.1,NNE(30),14.8,,Overcast
14/03/2016 18:54,12.2,10.6,90,1010.8,16.1,NE(50),13,,Overcast
14/03/2016 19:54,11.7,10.6,93,1011.2,6.4,NE(40),7.4,,Light Drizzle
14/03/2016 20:54,11.1,10.6,97,1010.2,6.4,NNE(20),14.8,,Overcast
14/03/2016 21:54,11.1,10.6,97,1010.2,9.7,NNE(30),13,,Overcast
14/03/2016 22:54,11.1,10.6,97,1010.2,4,NNE(30),11.1,,Overcast
14/03/2016 23:02,11.1,10.6,97,1009.8,4.8,NE(40),11.1,,Overcast
14/03/2016 00:54,10.6,10.6,100,1011.9,4,Variable,5.6,,Light Drizzle
15/03/2016 00:03,11.1,10.6,97,1011.2,2.9,NW(320),11.1,,LightDrizzle
15/03/2016 00:31,10.6,10.6,100,1010.8,6.4,NNE(20),9.3,Rain,Light Rain
15/03/2016 00:47,10.6,10,96,1010.2,8,NNE(20),16.7,Rain,Light Rain
15/03/2016 00:54,10.6,10,96,1010.2,9.7,NNE(30),16.7,Rain,Light Rain
15/03/2016 01:20,10.6,10,96,1010.5,14.5,North(360),9.3,Rain,Light Rain
15/03/2016 01:54,10.6,10,96,1010.5,16.1,NE(40),7.4,Rain,Light Rain
15/03/2016 03:03,10,10,100,1009.5,8,ENE(70),13,Rain,Rain
15/03/2016 03:38,10,9.4,96,1008.8,12.9,NNE(30),13,Rain,Light Rain
15/03/2016 03:54,10,9.4,96,1009.1,16.1,NE(40),9.3,Rain,Light Rain
15/03/2016 03:54,10,8.9,93,1008.8,9.7,ENE(60),9.3,Rain,Light Rain
15/03/2016 04:54,9.4,9.4,100,1008.1,16.1,North(10),14.8,Rain,Light Rain
15/03/2016 05:54,9.4,8.9,97,1009.1,16.1,NNW(340),13,,Overcast
15/03/2016 06:15,8.9,8.3,96,1008.8,16.1,North(360),13,,Overcast
15/03/2016 06:54,8.9,8.3,96,1009.5,16.1,North(360),13,,Overcast
15/03/2016 07:54,8.9,8.3,96,1010.2,6.4,North(350),13,,Overcast
15/03/2016 08:13,8.9,8.3,96,1010.2,8,NW(320),11.1,,Overcast
15/03/2016 08:36,8.9,7.8,93,1010.2,8,North(360),7.4,,Overcast
15/03/2016 08:54,8.9,8.3,96,1011.2,9.7,North(350),9.3,,Overcast
15/03/2016 09:46,10,8.3,89,1011.2,16.1,Calm,,,Overcast
15/03/2016 09:54,10,8.3,89,1011.9,16.1,Calm,,,Overcast
15/03/2016 10:54,11.1,8.9,86,1011.9,16.1,Calm,,,Overcast
15/03/2016 11:27,11.7,9.4,86,1011.2,14.5,West(280),5.6,,Overcast
15/03/2016 11:54,12.8,10,83,1011.9,16.1,Variable,5.6,,Overcast
15/03/2016 12:23,13.3,9.4,77,1011.5,16.1,West(260),7.4,,Overcast
15/03/2016 12:54,14.4,10,75,1011.5,16.1,NW(310),11.1,,Mostly Cloudy
15/03/2016 13:18,15,10,72,1010.5,16.1,NNW(330),13,,Mostly Cloudy
15/03/2016 13:54,16.7,10.6,67,1010.8,16.1,North(10),9.3,,Mostly Cloudy
15/03/2016 14:54,17.8,10.6,63,1010.2,16.1,Calm,,,Scattered Clouds
15/03/2016 15:54,18.9,11.1,60,1010.2,16.1,WNW(300),13,,Scattered Clouds
15/03/2016 16:54,20,11.1,56,1009.8,16.1,NNW(330),9.3,,Partly Cloudy
15/03/2016 17:54,20.6,11.1,54,1010.2,16.1,Calm,,,Partly Cloudy
15/03/2016 18:54,18.9,11.7,63,1010.8,16.1,North(10),5.6,,Partly Cloudy
15/03/2016 19:54,15.6,12.2,80,1011.2,16.1,SE(140),5.6,,Partly Cloudy
15/03/2016 20:54,15,12.2,83,1011.5,16.1,Calm,,,Partly Cloudy
15/03/2016 21:54,12.8,11.7,93,1011.9,16.1,South(170),7.4,,Clear
15/03/2016 22:54,12.8,11.1,89,1011.9,16.1,SSE(160),5.6,,Clear
15/03/2016 23:54,12.2,10.6,90,1011.9,16.1,Calm,,,Clear
16/03/2016 00:54,11.1,10,93,1011.5,16.1,Calm,,,Clear
16/03/2016 01:54,10.6,10,96,1011.2,16.1,ESE(110),5.6,,Clear
16/03/2016 03:54,10,9.4,96,1011.2,16.1,SE(140),7.4,,Clear
16/03/2016 03:54,10,9.4,96,1010.2,16.1,East(100),5.6,,Clear
16/03/2016 04:54,10.6,10,96,1010.2,16.1,SE(130),5.6,,Clear
16/03/2016 05:54,11.1,10.6,97,1010.2,16.1,SE(130),7.4,,Clear
16/03/2016 06:54,10.6,10,96,1010.2,16.1,ESE(110),5.6,,Partly Cloudy
16/03/2016 07:54,11.7,11.1,96,1010.2,16.1,ESE(120),9.3,,Scattered Clouds
16/03/2016 08:54,14.4,12.2,87,1010.2,16.1,SE(140),11.1,,Scattered Clouds
16/03/2016 09:54,17.2,12.8,75,1009.8,16.1,South(180),14.8,,Scattered Clouds
16/03/2016 10:54,18.9,12.8,68,1009.5,16.1,South(180),11.1,,Partly Cloudy
16/03/2016 11:54,21.7,13.3,59,1008.8,16.1,Calm,,,Clear
16/03/2016 12:54,23.9,13.9,53,1008.1,16.1,South(170),5.6,,Partly Cloudy
16/03/2016 13:54,24.4,13.3,50,1007.1,16.1,Calm,,,Partly Cloudy
16/03/2016 14:54,26.7,13.9,45,1006.1,16.1,SSW(210),13,,Scattered Clouds
16/03/2016 15:54,28.3,13.3,39,1005.8,16.1,West(260),20.4,,Scattered Clouds
16/03/2016 16:54,27.8,12.8,39,1005.4,16.1,West(260),16.7,,Scattered Clouds
16/03/2016 17:54,27.8,10.6,34,1005.8,16.1,West(260),20.4,,Mostly Cloudy
16/03/2016 18:54,27.2,11.7,38,1006.1,16.1,WNW(300),5.6,,Mostly Cloudy
16/03/2016 19:54,23.3,12.2,50,1006.4,16.1,Calm,,,Mostly Cloudy
16/03/2016 20:54,22.2,12.2,53,1007.1,16.1,NW(310),7.4,,Scattered Clouds
16/03/2016 21:54,21.7,5,34,1008.1,16.1,NW(320),14.8,,Partly Cloudy
16/03/2016 22:54,20.6,1.1,27,1009.1,16.1,NW(310),11.1,,Partly Cloudy
16/03/2016 23:54,17.2,5,45,1009.8,16.1,NW(320),11.1,,Clear
17/03/2016 00:54,15.6,8.9,64,1010.2,16.1,North(350),11.1,,Clear
17/03/2016 01:54,14.4,11.1,81,1010.8,16.1,North(360),7.4,,Clear
17/03/2016 03:54,13.9,11.7,87,1011.5,16.1,NNW(330),7.4,,Clear
17/03/2016 03:54,11.7,9.4,86,1011.9,16.1,North(360),11.1,,Clear
17/03/2016 04:54,11.7,6.7,71,1012.9,16.1,North(360),9.3,,Clear
17/03/2016 05:54,11.1,4.4,63,1013.5,16.1,NNE(30),9.3,,Clear
17/03/2016 06:54,9.4,3.9,69,1013.9,16.1,North(350),9.3,,Partly Cloudy
17/03/2016 07:54,8.3,3.9,74,1014.6,16.1,Calm,,,Partly Cloudy
17/03/2016 08:54,14.4,5.6,56,1014.6,16.1,Calm,,,Scattered Clouds
17/03/2016 09:54,17.2,3.3,40,1014.6,16.1,ESE(120),5.6,,Partly Cloudy
17/03/2016 10:54,18.3,1.7,33,1014.6,16.1,East(100),7.4,,Partly Cloudy
17/03/2016 11:54,20,0.6,27,1013.5,16.1,Variable,7.4,,Partly Cloudy
17/03/2016 12:54,20.6,1.1,27,1012.5,16.1,SSW(200),20.4,,Partly Cloudy
17/03/2016 13:54,21.7,0,24,1011.2,16.1,SW(220),13,,Scattered Clouds
17/03/2016 14:54,22.8,0,22,1009.8,16.1,SW(230),27.8,,Mostly Cloudy
17/03/2016 15:54,22.8,-1.1,20,1009.5,16.1,SW(230),29.6,,Scattered Clouds
17/03/2016 16:54,22.8,-1.1,20,1009.1,16.1,WSW(250),29.6,,Scattered Clouds
17/03/2016 17:54,22.8,-1.1,20,1009.1,16.1,West(260),27.8,,Scattered Clouds
17/03/2016 18:54,21.7,-1.1,22,1009.5,16.1,West(260),13,,Scattered Clouds
17/03/2016 19:54,19.4,-0.6,26,1010.2,16.1,WNW(300),7.4,,Scattered Clouds
17/03/2016 20:54,17.8,1.1,33,1011.2,16.1,NNW(330),11.1,,Mostly Cloudy
17/03/2016 21:54,15,1.1,39,1012.2,16.1,NNE(30),14.8,,Mostly Cloudy
17/03/2016 22:54,13.3,1.7,45,1012.9,16.1,NNE(20),14.8,,Mostly Cloudy
17/03/2016 23:54,12.8,1.7,47,1013.2,16.1,NNE(30),9.3,,Mostly Cloudy
